"Group","Units","Indicator","YYYY-MM","value"
"Oahu visitors","percent","Accom: Condo (%)","2019-10","8.8"
"Oahu visitors","percent","Accom: Condo (%)","2019-11","9.2"
"Oahu visitors","percent","Accom: Condo (%)","2019-12","9.9"
"Oahu visitors","percent","Accom: Condo (%)","2020-01","11.1"
"Oahu visitors","percent","Accom: Condo (%)","2020-02","10.3"
"Oahu visitors","percent","Accom: Condo (%)","2020-03","11.7"
"Oahu visitors","percent","Accom: Condo (%)","2020-04","8"
"Oahu visitors","percent","Accom: Condo (%)","2020-05","6.3"
"Oahu visitors","percent","Accom: Condo (%)","2020-06","5.5"
"Oahu visitors","percent","Accom: Condo (%)","2020-07","5.7"
"Oahu visitors","percent","Accom: Condo (%)","2020-08","6.8"
"Oahu visitors","percent","Accom: Condo (%)","2020-09","7.5"
"Oahu visitors","percent","Accom: Condo (%)","2020-10","11"
"Oahu visitors","percent","Accom: Condo (%)","2020-11","11.5"
"Oahu visitors","percent","Accom: Condo (%)","2020-12","10.8"
"Oahu visitors","percent","Accom: Condo (%)","2021-01","12.8"
"Oahu visitors","percent","Accom: Condo (%)","2021-02","11.5"
"Oahu visitors","percent","Accom: Condo (%)","2021-03","10.8"
"Oahu visitors","percent","Accom: Condo (%)","2021-04","10.4"
"Oahu visitors","percent","Accom: Condo (%)","2021-05","9.8"
"Oahu visitors","percent","Accom: Condo (%)","2021-06","10"
"Oahu visitors","percent","Accom: Condo (%)","2021-07","9.5"
"Oahu visitors","percent","Accom: Condo (%)","2021-08","10"
"Oahu visitors","percent","Accom: Condo (%)","2021-09","10.1"
"Oahu visitors","percent","Accom: Condo (%)","2021-10","10.3"
"Oahu visitors","percent","Accom: Condo (%)","2021-11","10.2"
"Oahu visitors","percent","Accom: Condo (%)","2021-12","10.9"
"Oahu visitors","percent","Accom: Condo (%)","2022-01","11.9"
"Oahu visitors","percent","Accom: Condo (%)","2022-02","10.6"
"Oahu visitors","percent","Accom: Condo (%)","2022-03","9.8"
"Oahu visitors","percent","Accom: Condo (%)","2022-04","8.9"
"Oahu visitors","percent","Accom: Condo (%)","2022-05","9"
"Oahu visitors","percent","Accom: Condo (%)","2022-06","9.8"
"Oahu visitors","percent","Accom: Condo (%)","2022-07","10.2"
"Oahu visitors","percent","Accom: Condo (%)","2022-08","10.1"
"Oahu visitors","percent","Accom: Condo (%)","2022-09","9.2"
"Oahu visitors","percent","Accom: Condo (%)","2022-10","9"
"Oahu visitors","percent","Accom: Condo (%)","2022-11","9.3"
"Oahu visitors","percent","Accom: Condo (%)","2022-12","9.2"
"Oahu visitors","percent","Accom: Condo (%)","2023-01","9.5"
"Oahu visitors","percent","Accom: Condo (%)","2023-02","9"
"Oahu visitors","percent","Accom: Condo (%)","2023-03","9.6"
"Oahu visitors","percent","Accom: Condo (%)","2023-04","8.7"
"Oahu visitors","percent","Accom: Condo (%)","2023-05","8.5"
"Oahu visitors","percent","Accom: Condo (%)","2023-06","9.2"
"Oahu visitors","percent","Accom: Condo (%)","2023-07","9.5"
"Oahu visitors","percent","Accom: Condo (%)","2023-08","9.8"
"Oahu visitors","percent","Accom: Condo (%)","2023-09","9"
"Oahu visitors","percent","Accom: Condo (%)","2023-10","8.4"
"Oahu visitors","percent","Accom: Condo (%)","2023-11","9.6"
"Oahu visitors","percent","Accom: Condo (%)","2023-12","9.4"
"Oahu visitors","percent","Accom: Condo (%)","2024-01","9.7"
"Oahu visitors","percent","Accom: Condo (%)","2024-02","9.1"
"Oahu visitors","percent","Accom: Condo (%)","2024-03","8.8"
"Oahu visitors","percent","Accom: Condo (%)","2024-04","8.1"
"Oahu visitors","percent","Accom: Condo (%)","2024-05","8.5"
"Oahu visitors","percent","Accom: Condo (%)","2024-06","8.7"
"Oahu visitors","percent","Accom: Condo (%)","2024-07","9.8"
"Oahu visitors","percent","Accom: Condo (%)","2024-08","8.2"
"Oahu visitors","percent","Accom: Condo (%)","2024-09","8.1"
"Oahu visitors","percent","Accom: Condo (%)","2024-10","8.3"
"Oahu visitors","percent","Accom: Condo (%)","2024-11","7.3"
"Oahu visitors","percent","Accom: Condo (%)","2024-12","8.5"
"Oahu visitors","percent","Accom: Condo only (%)","2015-01","6.8"
"Oahu visitors","percent","Accom: Condo only (%)","2015-02","6.8"
"Oahu visitors","percent","Accom: Condo only (%)","2015-03","7.2"
"Oahu visitors","percent","Accom: Condo only (%)","2015-04","6.5"
"Oahu visitors","percent","Accom: Condo only (%)","2015-05","6.3"
"Oahu visitors","percent","Accom: Condo only (%)","2015-06","6.9"
"Oahu visitors","percent","Accom: Condo only (%)","2015-07","7.3"
"Oahu visitors","percent","Accom: Condo only (%)","2015-08","7.5"
"Oahu visitors","percent","Accom: Condo only (%)","2015-09","7.3"
"Oahu visitors","percent","Accom: Condo only (%)","2015-10","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2015-11","6.8"
"Oahu visitors","percent","Accom: Condo only (%)","2015-12","6.9"
"Oahu visitors","percent","Accom: Condo only (%)","2016-01","6.4"
"Oahu visitors","percent","Accom: Condo only (%)","2016-02","6.4"
"Oahu visitors","percent","Accom: Condo only (%)","2016-03","7.6"
"Oahu visitors","percent","Accom: Condo only (%)","2016-04","6.5"
"Oahu visitors","percent","Accom: Condo only (%)","2016-05","6.2"
"Oahu visitors","percent","Accom: Condo only (%)","2016-06","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2016-07","7.1"
"Oahu visitors","percent","Accom: Condo only (%)","2016-08","7.5"
"Oahu visitors","percent","Accom: Condo only (%)","2016-09","6.3"
"Oahu visitors","percent","Accom: Condo only (%)","2016-10","6.1"
"Oahu visitors","percent","Accom: Condo only (%)","2016-11","6.5"
"Oahu visitors","percent","Accom: Condo only (%)","2016-12","6.5"
"Oahu visitors","percent","Accom: Condo only (%)","2017-01","7.2"
"Oahu visitors","percent","Accom: Condo only (%)","2017-02","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2017-03","6.8"
"Oahu visitors","percent","Accom: Condo only (%)","2017-04","7"
"Oahu visitors","percent","Accom: Condo only (%)","2017-05","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2017-06","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2017-07","7.4"
"Oahu visitors","percent","Accom: Condo only (%)","2017-08","7.6"
"Oahu visitors","percent","Accom: Condo only (%)","2017-09","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2017-10","5.9"
"Oahu visitors","percent","Accom: Condo only (%)","2017-11","6.2"
"Oahu visitors","percent","Accom: Condo only (%)","2017-12","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2018-01","6.4"
"Oahu visitors","percent","Accom: Condo only (%)","2018-02","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2018-03","7.1"
"Oahu visitors","percent","Accom: Condo only (%)","2018-04","6.4"
"Oahu visitors","percent","Accom: Condo only (%)","2018-05","6.5"
"Oahu visitors","percent","Accom: Condo only (%)","2018-06","6.4"
"Oahu visitors","percent","Accom: Condo only (%)","2018-07","8"
"Oahu visitors","percent","Accom: Condo only (%)","2018-08","7.1"
"Oahu visitors","percent","Accom: Condo only (%)","2018-09","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2018-10","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2018-11","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2018-12","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2019-01","7.3"
"Oahu visitors","percent","Accom: Condo only (%)","2019-02","6.5"
"Oahu visitors","percent","Accom: Condo only (%)","2019-03","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2019-04","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2019-05","6.4"
"Oahu visitors","percent","Accom: Condo only (%)","2019-06","7.1"
"Oahu visitors","percent","Accom: Condo only (%)","2019-07","7"
"Oahu visitors","percent","Accom: Condo only (%)","2019-08","7.5"
"Oahu visitors","percent","Accom: Condo only (%)","2019-09","7.2"
"Oahu visitors","percent","Accom: Condo only (%)","2019-10","6"
"Oahu visitors","percent","Accom: Condo only (%)","2019-11","6.3"
"Oahu visitors","percent","Accom: Condo only (%)","2019-12","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2020-01","7.2"
"Oahu visitors","percent","Accom: Condo only (%)","2020-02","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2020-03","8.2"
"Oahu visitors","percent","Accom: Condo only (%)","2020-04","6.5"
"Oahu visitors","percent","Accom: Condo only (%)","2020-05","5.4"
"Oahu visitors","percent","Accom: Condo only (%)","2020-06","4.6"
"Oahu visitors","percent","Accom: Condo only (%)","2020-07","4.9"
"Oahu visitors","percent","Accom: Condo only (%)","2020-08","5.6"
"Oahu visitors","percent","Accom: Condo only (%)","2020-09","6.3"
"Oahu visitors","percent","Accom: Condo only (%)","2020-10","8.9"
"Oahu visitors","percent","Accom: Condo only (%)","2020-11","9"
"Oahu visitors","percent","Accom: Condo only (%)","2020-12","8.1"
"Oahu visitors","percent","Accom: Condo only (%)","2021-01","9.9"
"Oahu visitors","percent","Accom: Condo only (%)","2021-02","8.8"
"Oahu visitors","percent","Accom: Condo only (%)","2021-03","7.8"
"Oahu visitors","percent","Accom: Condo only (%)","2021-04","7.7"
"Oahu visitors","percent","Accom: Condo only (%)","2021-05","7"
"Oahu visitors","percent","Accom: Condo only (%)","2021-06","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2021-07","6.2"
"Oahu visitors","percent","Accom: Condo only (%)","2021-08","6.9"
"Oahu visitors","percent","Accom: Condo only (%)","2021-09","7.1"
"Oahu visitors","percent","Accom: Condo only (%)","2021-10","7.1"
"Oahu visitors","percent","Accom: Condo only (%)","2021-11","7"
"Oahu visitors","percent","Accom: Condo only (%)","2021-12","7.7"
"Oahu visitors","percent","Accom: Condo only (%)","2022-01","8"
"Oahu visitors","percent","Accom: Condo only (%)","2022-02","7.4"
"Oahu visitors","percent","Accom: Condo only (%)","2022-03","6.8"
"Oahu visitors","percent","Accom: Condo only (%)","2022-04","6.2"
"Oahu visitors","percent","Accom: Condo only (%)","2022-05","5.7"
"Oahu visitors","percent","Accom: Condo only (%)","2022-06","5.9"
"Oahu visitors","percent","Accom: Condo only (%)","2022-07","6.5"
"Oahu visitors","percent","Accom: Condo only (%)","2022-08","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2022-09","6.1"
"Oahu visitors","percent","Accom: Condo only (%)","2022-10","6.2"
"Oahu visitors","percent","Accom: Condo only (%)","2022-11","6.4"
"Oahu visitors","percent","Accom: Condo only (%)","2022-12","6.3"
"Oahu visitors","percent","Accom: Condo only (%)","2023-01","6.4"
"Oahu visitors","percent","Accom: Condo only (%)","2023-02","6.1"
"Oahu visitors","percent","Accom: Condo only (%)","2023-03","7"
"Oahu visitors","percent","Accom: Condo only (%)","2023-04","6"
"Oahu visitors","percent","Accom: Condo only (%)","2023-05","5.9"
"Oahu visitors","percent","Accom: Condo only (%)","2023-06","6.1"
"Oahu visitors","percent","Accom: Condo only (%)","2023-07","6"
"Oahu visitors","percent","Accom: Condo only (%)","2023-08","6.9"
"Oahu visitors","percent","Accom: Condo only (%)","2023-09","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2023-10","6"
"Oahu visitors","percent","Accom: Condo only (%)","2023-11","6.6"
"Oahu visitors","percent","Accom: Condo only (%)","2023-12","6.7"
"Oahu visitors","percent","Accom: Condo only (%)","2024-01","7"
"Oahu visitors","percent","Accom: Condo only (%)","2024-02","6.4"
"Oahu visitors","percent","Accom: Condo only (%)","2024-03","6.5"
"Oahu visitors","percent","Accom: Condo only (%)","2024-04","5.7"
"Oahu visitors","percent","Accom: Condo only (%)","2024-05","5.8"
"Oahu visitors","percent","Accom: Condo only (%)","2024-06","5.8"
"Oahu visitors","percent","Accom: Condo only (%)","2024-07","7"
"Oahu visitors","percent","Accom: Condo only (%)","2024-08","5.7"
"Oahu visitors","percent","Accom: Condo only (%)","2024-09","5.9"
"Oahu visitors","percent","Accom: Condo only (%)","2024-10","6.3"
"Oahu visitors","percent","Accom: Condo only (%)","2024-11","5.4"
"Oahu visitors","percent","Accom: Condo only (%)","2024-12","6.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-01","2.7"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-02","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-03","2.4"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-04","3.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-05","2.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-06","2.4"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-07","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-08","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-09","2.6"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-10","2.4"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-11","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2015-12","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-01","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-02","1.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-03","0.7"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-04","3.3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-05","2.6"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-06","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-07","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-08","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-09","2.5"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-10","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-11","1.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2016-12","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-01","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-02","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-03","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-04","2.6"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-05","2.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-06","2.4"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-07","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-08","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-09","2.8"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-10","2.4"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-11","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2017-12","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-01","1.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-02","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-03","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-04","2.6"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-05","2.3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-06","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-07","1.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-08","2.3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-09","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-10","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-11","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2018-12","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-01","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-02","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-03","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-04","2.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-05","2.7"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-06","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-07","1.7"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-08","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-09","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-10","2.5"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-11","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2019-12","1.7"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-01","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-02","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-03","1.3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-04","0.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-05","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-06","0.3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-07","0.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-08","0.3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-09","0.4"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-10","0.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-11","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2020-12","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-01","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-02","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-03","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-04","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-05","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-06","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-07","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-08","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-09","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-10","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-11","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2021-12","0"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-01","0.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-02","0.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-03","0.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-04","1.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-05","1.6"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-06","1.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-07","0.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-08","0.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-09","1.4"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-10","2.3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-11","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2022-12","1.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-01","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-02","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-03","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-04","3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-05","2.7"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-06","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-07","2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-08","1.8"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-09","2.5"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-10","2.5"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-11","2.5"
"Oahu visitors","percent","Accom: Cruise ship (%)","2023-12","1.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-01","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-02","2.3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-03","1.8"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-04","3.7"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-05","2.3"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-06","1.9"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-07","1.8"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-08","2.2"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-09","2.1"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-10","2.8"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-11","2.4"
"Oahu visitors","percent","Accom: Cruise ship (%)","2024-12","1.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-01","8.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-02","9.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-03","9.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-04","9.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-05","9.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-06","10.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-07","10.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-08","8.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-09","7.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-10","8.3"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-11","9.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2015-12","12.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-01","9.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-02","10.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-03","10.3"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-04","8.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-05","10.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-06","9.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-07","10.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-08","9.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-09","7.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-10","8.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-11","8.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2016-12","12.5"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-01","9.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-02","9.5"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-03","9.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-04","8.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-05","10.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-06","9.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-07","10.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-08","8.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-09","7.5"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-10","9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-11","8.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2017-12","11.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-01","9.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-02","9.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-03","9.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-04","8.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-05","10"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-06","9.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-07","10.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-08","9.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-09","8.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-10","9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-11","10.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2018-12","12.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-01","9.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-02","9.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-03","9.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-04","9.3"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-05","10.5"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-06","9.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-07","10.5"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-08","9.5"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-09","8.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-10","9.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-11","9.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2019-12","13.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-01","10.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-02","10.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-03","14.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-04","38.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-05","59.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-06","61.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-07","52.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-08","41"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-09","44.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-10","32.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-11","26.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2020-12","30.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-01","21.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-02","20"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-03","17.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-04","15.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-05","15.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-06","15.3"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-07","14.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-08","12.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-09","13.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-10","15.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-11","14.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2021-12","18.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-01","14.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-02","14.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-03","13.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-04","12"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-05","12.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-06","12.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-07","12.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-08","11.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-09","10.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-10","11.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-11","12.2"
