"Group","Indicator","Units","YYYY-MM","value"
"Oahu visitors","Purpose: Get married (%)","percent","2017-08","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2017-09","1.3"
"Oahu visitors","Purpose: Get married (%)","percent","2017-10","1.3"
"Oahu visitors","Purpose: Get married (%)","percent","2017-11","1.5"
"Oahu visitors","Purpose: Get married (%)","percent","2017-12","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2018-01","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2018-02","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2018-03","1.1"
"Oahu visitors","Purpose: Get married (%)","percent","2018-04","1.4"
"Oahu visitors","Purpose: Get married (%)","percent","2018-05","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2018-06","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2018-07","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2018-08","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2018-09","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2018-10","1.7"
"Oahu visitors","Purpose: Get married (%)","percent","2018-11","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2018-12","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2019-01","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2019-02","1.1"
"Oahu visitors","Purpose: Get married (%)","percent","2019-03","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2019-04","1"
"Oahu visitors","Purpose: Get married (%)","percent","2019-05","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2019-06","1.3"
"Oahu visitors","Purpose: Get married (%)","percent","2019-07","1"
"Oahu visitors","Purpose: Get married (%)","percent","2019-08","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2019-09","1.3"
"Oahu visitors","Purpose: Get married (%)","percent","2019-10","1.6"
"Oahu visitors","Purpose: Get married (%)","percent","2019-11","1.4"
"Oahu visitors","Purpose: Get married (%)","percent","2019-12","1"
"Oahu visitors","Purpose: Get married (%)","percent","2020-01","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2020-02","1"
"Oahu visitors","Purpose: Get married (%)","percent","2020-03","1"
"Oahu visitors","Purpose: Get married (%)","percent","2020-04","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2020-05","0.3"
"Oahu visitors","Purpose: Get married (%)","percent","2020-06","0.3"
"Oahu visitors","Purpose: Get married (%)","percent","2020-07","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2020-08","0.3"
"Oahu visitors","Purpose: Get married (%)","percent","2020-09","0.5"
"Oahu visitors","Purpose: Get married (%)","percent","2020-10","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2020-11","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2020-12","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2021-01","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2021-02","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2021-03","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2021-04","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2021-05","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2021-06","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2021-07","0.5"
"Oahu visitors","Purpose: Get married (%)","percent","2021-08","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2021-09","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2021-10","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2021-11","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2021-12","0.5"
"Oahu visitors","Purpose: Get married (%)","percent","2022-01","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2022-02","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2022-03","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2022-04","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2022-05","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2022-06","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2022-07","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2022-08","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2022-09","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2022-10","1.2"
"Oahu visitors","Purpose: Get married (%)","percent","2022-11","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2022-12","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2023-01","0.5"
"Oahu visitors","Purpose: Get married (%)","percent","2023-02","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2023-03","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2023-04","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2023-05","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2023-06","0.8"
"Oahu visitors","Purpose: Get married (%)","percent","2023-07","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2023-08","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2023-09","1.1"
"Oahu visitors","Purpose: Get married (%)","percent","2023-10","1"
"Oahu visitors","Purpose: Get married (%)","percent","2023-11","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2023-12","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2024-01","0.5"
"Oahu visitors","Purpose: Get married (%)","percent","2024-02","0.7"
"Oahu visitors","Purpose: Get married (%)","percent","2024-03","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2024-04","1"
"Oahu visitors","Purpose: Get married (%)","percent","2024-05","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2024-06","1"
"Oahu visitors","Purpose: Get married (%)","percent","2024-07","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2024-08","0.6"
"Oahu visitors","Purpose: Get married (%)","percent","2024-09","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2024-10","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2024-11","0.9"
"Oahu visitors","Purpose: Get married (%)","percent","2024-12","0.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-01","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-02","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-03","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-04","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-05","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-06","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-07","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-08","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-09","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-10","1.3"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-11","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2015-12","1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-01","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-02","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-03","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-04","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-05","1.6"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-06","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-07","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-08","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-09","1.6"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-10","1.3"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-11","1.3"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2016-12","1.1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-01","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-02","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-03","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-04","1.6"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-05","2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-06","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-07","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-08","1.2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-09","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-10","1.3"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-11","1.3"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2017-12","0.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-01","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-02","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-03","2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-04","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-05","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-06","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-07","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-08","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-09","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-10","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-11","1.6"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2018-12","1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-01","1.6"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-02","2.2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-03","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-04","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-05","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-06","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-07","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-08","1.3"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-09","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-10","1.2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-11","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2019-12","1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-01","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-02","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-03","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-04","15.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-05","10.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-06","8.2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-07","11.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-08","12.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-09","13.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-10","5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-11","2.2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2020-12","1.1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-01","3.6"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-02","2.2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-03","1.2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-04","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-05","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-06","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-07","1.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-08","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-09","2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-10","2.1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-11","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2021-12","1.1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-01","2.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-02","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-03","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-04","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-05","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-06","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-07","2.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-08","2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-09","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-10","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-11","2.1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2022-12","1.3"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-01","2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-02","2.1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-03","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-04","2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-05","2.1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-06","2.5"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-07","1.8"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-08","2.1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-09","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-10","3.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-11","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2023-12","1.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-01","2.6"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-02","2.2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-03","2"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-04","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-05","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-06","2.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-07","2.1"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-08","1.9"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-09","2.4"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-10","1.7"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-11","1.6"
"Oahu visitors","Purpose: Govt/Military (%)","percent","2024-12","1.1"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-01","9.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-02","8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-03","7.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-04","8.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-05","9.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-06","8.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-07","6.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-08","5.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-09","9.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-10","11.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-11","11.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2015-12","8.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-01","7.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-02","7.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-03","6.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-04","9.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-05","9.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-06","9.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-07","6.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-08","4.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-09","9.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-10","12.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-11","11.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2016-12","8.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-01","6.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-02","7.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-03","7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-04","8.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-05","7.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-06","8.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-07","6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-08","4.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-09","9.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-10","9.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-11","9.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2017-12","7.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-01","5.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-02","6.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-03","5.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-04","7.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-05","7.1"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-06","7.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-07","5.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-08","4.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-09","7.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-10","9.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-11","8.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2018-12","6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-01","5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-02","5.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-03","4.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-04","6.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-05","6.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-06","7.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-07","4.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-08","3.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-09","7.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-10","9.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-11","8.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2019-12","5.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-01","5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-02","4.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-03","4.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-04","0.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-05","0.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-06","0.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-07","0.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-08","0.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-09","0.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-10","2.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-11","2.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2020-12","2.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-01","2.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-02","2.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-03","2.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-04","2.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-05","3.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-06","3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-07","2.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-08","3.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-09","5.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-10","5.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-11","4.1"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2021-12","2.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-01","2.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-02","2.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-03","2.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-04","3.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-05","5.1"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-06","4.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-07","4.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-08","4.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-09","7.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-10","8.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-11","6.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2022-12","4.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-01","3.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-02","3.7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-03","3.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-04","4.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-05","5.3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-06","5.1"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-07","3.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-08","3.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-09","7"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-10","6.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-11","5.6"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2023-12","4.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-01","3.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-02","4.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-03","3.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-04","4.9"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-05","4.8"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-06","5.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-07","3.5"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-08","3"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-09","5.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-10","5.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-11","5.4"
"Oahu visitors","Purpose: Honeymoon (%)","percent","2024-12","3.3"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-01","10.4"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-02","8.6"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-03","8.1"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-04","9.6"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-05","10.4"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-06","9.3"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-07","7.4"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-08","5.8"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-09","10.6"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-10","12.4"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-11","12.1"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2015-12","8.8"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-01","8.1"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-02","7.9"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-03","7.7"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-04","10.3"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-05","10.1"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-06","10.4"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-07","7.3"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-08","5.5"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-09","10"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-10","13.2"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-11","12.3"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2016-12","9.4"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-01","7"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-02","8.4"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-03","7.6"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-04","9.3"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-05","8.6"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-06","9.6"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-07","6.5"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-08","5.2"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-09","10.4"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-10","10"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-11","10.6"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2017-12","8"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-01","6.1"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-02","7.1"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-03","6.5"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-04","8.6"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-05","7.8"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-06","8.2"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-07","6.1"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-08","5.3"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-09","8.5"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-10","10"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-11","8.9"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2018-12","6.7"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2019-01","5.4"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2019-02","6.5"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2019-03","5.5"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","2019-04","7.2"
